Year,Mean,Sum,Median
1969,2.0,55.0,0.5
1970,1.0,27.0,1.0
1971,0.0,8.0,0.0
1972,0.0,14.0,0.0
1973,1.0,40.0,0.0
1974,0.0,0.0,0.0
1975,4.0,136.0,4.0
1976,0.0,3.0,0.0
1977,0.0,9.0,0.0
1978,0.0,2.0,0.0
1979,0.0,13.0,0.0
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,3.0,106.0,1.0
1983,1.0,46.0,1.0
1984,0.0,0.0,0.0
1985,0.0,0.0,0.0
1986,1.0,21.0,0.0
1987,0.0,3.0,0.0
1988,0.0,14.0,0.0
1989,1.0,46.0,1.0
1990,0.0,0.0,0.0
1991,1.0,36.0,0.0
1992,0.0,14.0,0.0
1993,0.0,0.0,0.0
1994,4.0,141.0,3.0
1995,0.0,5.0,0.0
1996,0.0,2.0,0.0
1997,0.0,17.0,0.0
1998,0.0,0.0,0.0
1999,1.0,31.0,0.0
2000,0.0,7.0,0.0
2001,1.0,29.0,0.0
2002,0.0,6.0,0.0
2003,1.0,28.0,0.0
2004,0.0,8.0,0.0
2005,1.0,21.0,0.0
2006,2.0,59.0,1.0
2007,0.0,16.0,0.0
2008,1.0,33.0,0.0
2009,0.0,11.0,0.0
2010,2.0,59.0,0.5
2011,0.0,3.0,0.0
2012,0.0,2.0,0.0
2013,0.0,4.0,0.0
2014,2.0,71.0,1.0
2015,0.0,14.0,0.0
2016,0.0,12.0,0.0
2017,0.0,0.0,0.0
2018,6.0,228.0,5.5
2019,1.0,52.0,1.5
2020,1.0,44.0,0.0
