Year,Mean,Sum
1970,1.0,27.0
1971,1.0,8.0
1972,3.0,14.0
1973,3.0,40.0
1974,0.0,0.0
1975,6.0,136.0
1976,1.0,3.0
1977,2.0,9.0
1978,2.0,2.0
1979,1.0,13.0
1980,1.0,1.0
1981,0.0,0.0
1982,6.0,106.0
1983,2.0,46.0
1984,0.0,0.0
1985,0.0,0.0
1986,2.0,21.0
1987,2.0,3.0
1988,2.0,14.0
1989,2.0,46.0
1990,0.0,0.0
1991,2.0,36.0
1992,1.0,14.0
1993,0.0,0.0
1994,5.0,141.0
1995,1.0,5.0
1996,1.0,2.0
1997,1.0,17.0
1998,0.0,0.0
1999,4.0,31.0
2000,1.0,7.0
2001,2.0,29.0
2002,1.0,6.0
2003,2.0,28.0
2004,2.0,8.0
2005,2.0,21.0
2006,3.0,59.0
2007,2.0,16.0
2008,2.0,33.0
2009,1.0,11.0
2010,3.0,59.0
2011,1.0,3.0
2012,1.0,2.0
2013,1.0,4.0
2014,3.0,71.0
2015,1.0,14.0
2016,2.0,12.0
2017,0.0,0.0
2018,8.0,228.0
2019,2.0,52.0
2020,3.0,44.0
