Year,Mean,Median,Sum
1969,6.0,0.0,557.0
1970,2.0,0.0,205.0
1971,1.0,0.0,166.0
1972,4.0,0.0,457.0
1973,5.0,0.0,539.0
1974,1.0,0.0,132.0
1975,5.0,6.0,513.0
1976,0.0,0.0,45.0
1977,1.0,0.0,72.0
1978,2.0,0.0,229.0
1979,0.0,0.0,0.0
1980,3.0,0.0,318.0
1981,0.0,0.0,5.0
1982,6.0,0.0,704.0
1983,3.0,0.0,324.0
1984,0.0,0.0,0.0
1985,0.0,0.0,0.0
1986,0.0,0.0,27.0
1987,0.0,0.0,0.0
1988,1.0,0.0,162.0
1989,3.0,0.0,310.0
1990,0.0,0.0,17.0
1991,3.0,0.0,320.0
1992,2.0,0.0,208.0
1993,0.0,0.0,5.0
1994,9.0,0.0,970.0
1995,2.0,0.0,238.0
1996,1.0,0.0,101.0
1997,7.0,5.5,770.0
1998,0.0,0.0,0.0
1999,4.0,0.0,426.0
2000,0.0,0.0,0.0
2001,3.0,0.0,372.0
2002,7.0,2.5,773.0
2003,4.0,0.0,429.0
2004,3.0,0.0,322.0
2005,5.0,6.5,524.0
2006,7.0,5.0,811.0
2007,3.0,0.0,298.0
2008,4.0,0.0,447.0
2009,4.0,0.0,409.0
2010,3.0,0.0,315.0
2011,1.0,0.0,113.0
2012,0.0,0.0,0.0
2013,1.0,0.0,85.0
2014,11.0,12.5,1287.0
2015,1.0,0.0,71.0
2016,1.0,0.0,166.0
2017,0.0,0.0,0.0
2018,15.0,16.0,1691.0
2019,3.0,0.0,296.0
2020,5.0,5.0,590.0
