Year,Mean,Median,Sum
1969,4.0,0.0,319.0
1970,0.0,0.0,49.0
1971,1.0,0.0,109.0
1972,3.0,3.0,356.0
1973,3.0,0.0,366.0
1974,1.0,0.0,75.0
1975,1.0,0.0,118.0
1976,0.0,0.0,28.0
1977,0.0,0.0,32.0
1978,2.0,0.0,224.0
1979,0.0,0.0,9.0
1980,1.0,0.0,168.0
1981,0.0,0.0,35.0
1982,3.0,0.0,304.0
1983,2.0,0.0,192.0
1984,0.0,0.0,3.0
1985,0.0,0.0,7.0
1986,0.0,0.0,53.0
1987,0.0,0.0,0.0
1988,1.0,0.0,82.0
1989,1.0,0.0,153.0
1990,0.0,0.0,6.0
1991,1.0,0.0,117.0
1992,1.0,0.0,82.0
1993,0.0,0.0,14.0
1994,4.0,3.0,401.0
1995,2.0,0.0,166.0
1996,1.0,0.0,82.0
1997,5.0,3.0,611.0
1998,0.0,0.0,0.0
1999,3.0,0.0,345.0
2000,0.0,0.0,0.0
2001,2.0,0.0,203.0
2002,4.0,0.0,432.0
2003,2.0,0.0,248.0
2004,2.0,0.0,240.0
2005,2.0,0.0,262.0
2006,4.0,0.0,467.0
2007,1.0,0.0,113.0
2008,2.0,0.0,177.0
2009,2.0,0.0,230.0
2010,1.0,0.0,90.0
2011,1.0,0.0,60.0
2012,0.0,0.0,13.0
2013,1.0,0.0,79.0
2014,6.0,5.0,621.0
2015,1.0,0.0,96.0
2016,2.0,0.0,180.0
2017,0.0,0.0,0.0
2018,5.0,4.0,578.0
2019,2.0,0.0,177.0
2020,3.0,0.0,360.0
