Year,Mean,Median,Sum
1969,0.0,0.0,14.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,15.0
1973,0.0,0.0,18.0
1974,0.0,0.0,1.0
1975,0.0,0.0,45.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,6.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,26.0
1983,0.0,0.0,13.0
1984,0.0,0.0,0.0
1985,0.0,0.0,0.0
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.0,0.0,14.0
1989,0.0,0.0,6.0
1990,0.0,0.0,1.0
1991,0.0,0.0,7.0
1992,0.0,0.0,1.0
1993,0.0,0.0,0.0
1994,1.0,0.0,104.0
1995,0.0,0.0,7.0
1996,0.0,0.0,0.0
1997,1.0,0.0,113.0
1998,0.0,0.0,0.0
1999,0.0,0.0,15.0
2000,0.0,0.0,3.0
2001,0.0,0.0,18.0
2002,0.0,0.0,54.0
2003,1.0,0.0,57.0
2004,0.0,0.0,5.0
2005,0.0,0.0,9.0
2006,0.0,0.0,24.0
2007,0.0,0.0,1.0
2008,0.0,0.0,7.0
2009,0.0,0.0,4.0
2010,1.0,0.0,59.0
2011,0.0,0.0,3.0
2012,0.0,0.0,0.0
2013,0.0,0.0,0.0
2014,1.0,0.0,132.0
2015,0.0,0.0,0.0
2016,0.0,0.0,1.0
2017,0.0,0.0,0.0
2018,3.0,1.0,326.0
2019,0.0,0.0,31.0
2020,0.0,0.0,13.0
