Year,HeatWave,Min
1969,6.0,0.0
1970,2.0,0.0
1971,1.0,0.0
1972,4.0,0.0
1973,5.0,0.0
1974,1.0,0.0
1975,5.0,0.0
1976,0.0,0.0
1977,1.0,0.0
1978,2.0,0.0
1979,0.0,0.0
1980,3.0,0.0
1981,0.0,0.0
1982,6.0,0.0
1983,3.0,0.0
1984,0.0,0.0
1985,0.0,0.0
1986,0.0,0.0
1987,0.0,0.0
1988,1.0,0.0
1989,3.0,0.0
1990,0.0,0.0
1991,3.0,0.0
1992,2.0,0.0
1993,0.0,0.0
1994,9.0,1.0
1995,2.0,0.0
1996,1.0,0.0
1997,7.0,1.0
1998,0.0,0.0
1999,4.0,0.0
2000,0.0,0.0
2001,3.0,0.0
2002,7.0,0.0
2003,4.0,1.0
2004,3.0,0.0
2005,5.0,0.0
2006,7.0,0.0
2007,3.0,0.0
2008,4.0,0.0
2009,4.0,0.0
2010,3.0,1.0
2011,1.0,0.0
2012,0.0,0.0
2013,1.0,0.0
2014,11.0,1.0
2015,1.0,0.0
2016,1.0,0.0
2017,0.0,0.0
2018,15.0,3.0
2019,3.0,0.0
2020,5.0,0.0
